CourseID	Certification Year	Name	Dist	Units	City	State	Measurer	Full state	City,State	Latitude	Longitude	Color	Certificate URL	Steet map	Driving directions	Date added	Replaces
QC-2026-010-LJJL	2026	Étalons de 300 m, Piste Cyclable Boulevard Cavendish	300	m	Saint-Laurent	QC		Quebec	Saint-Laurent,Quebec	45.5088774	-73.6875187	PURPLE	<a href='https://www.acroad.ca/certificates/2026/QC-2026-010-LJJL.pdf' target='_blank'>QC-2026-010-LJJL</a>	<a href='https://www.google.com/maps/place/45.5088774,-73.6875187' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=45.5088774,-73.6875187&travelmode=driving' target='_blank'>Driving directions to course</a>		
ON-2026-007-PTBA	2026	Francis Street West Calibration	300	m	Fenelon Falls	ON		Ontario	Fenelon Falls,Ontario	44.5370301	-78.7363805	PURPLE	<a href='https://www.acroad.ca/certificates/2026/ON-2026-007-PTBA.pdf' target='_blank'>ON-2026-007-PTBA</a>	<a href='https://www.google.com/maps/place/44.5370301,-78.7363805' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=44.5370301,-78.7363805&travelmode=driving' target='_blank'>Driving directions to course</a>		
ON-2025-017-LJJL	2025	Arthur Street 300 m Calibration Course	300	m	Perth	ON		Ontario	Perth,Ontario	43.4935991	-81.0164111	PURPLE	<a href='https://www.acroad.ca/certificates/2025/ON-2025-017-LJJL.pdf' target='_blank'>ON-2025-017-LJJL</a>	<a href='https://www.google.com/maps/place/43.4935991,-81.0164111' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=43.4935991,-81.0164111&travelmode=driving' target='_blank'>Driving directions to course</a>		
QC-2025-029-LJJL	2025	Base Étalon 300 m Gravier Vélopiste Shannon	300	m	Shannon	QC		Quebec	Shannon,Quebec	46.8865709	-71.5166406	PURPLE	<a href='https://www.acroad.ca/certificates/2025/QC-2025-029-LJJL.pdf' target='_blank'>QC-2025-029-LJJL</a>	<a href='https://www.google.com/maps/place/46.8865709,-71.5166406' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=46.8865709,-71.5166406&travelmode=driving' target='_blank'>Driving directions to course</a>		
QC-2025-013-LJJL	2025	Base Étalon 300 m Voie Verte - Chelsea	300	m	Chelsea	QC		Quebec	Chelsea,Quebec	45.5031737	-75.8080230	PURPLE	<a href='https://www.acroad.ca/certificates/2025/QC-2025-013-LJJL.pdf' target='_blank'>QC-2025-013-LJJL</a>	<a href='https://www.google.com/maps/place/45.5031737,-75.8080230' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=45.5031737,-75.8080230&travelmode=driving' target='_blank'>Driving directions to course</a>		
ON-2025-016-PTBA	2025	Caroline St Calibration Course	300	m	Burlington	ON		Ontario	Burlington,Ontario	43.3248924	-79.7966835	PURPLE	<a href='https://www.acroad.ca/certificates/2025/ON-2025-016-PTBA.pdf' target='_blank'>ON-2025-016-PTBA</a>	<a href='https://www.google.com/maps/place/43.3248924,-79.7966835' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=43.3248924,-79.7966835&travelmode=driving' target='_blank'>Driving directions to course</a>		
BC-2025-019-PTBA	2025	Condensory Rd 389.753m Calibration	389.753	m	Courtenay	BC		British Columbia	Courtenay,British Columbia	49.6894061	-124.9954959	PURPLE	<a href='https://www.acroad.ca/certificates/2025/BC-2025-019-PTBA.pdf' target='_blank'>BC-2025-019-PTBA</a>	<a href='https://www.google.com/maps/place/49.6894061,-124.9954959' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=49.6894061,-124.9954959&travelmode=driving' target='_blank'>Driving directions to course</a>		
QC-2024-004-LJJL	2024	Étalon 300 m Piste Cyclable Boulevard Dr-Gervais	300	m	Mont-Tremblant	QC		Quebec	Mont-Tremblant,Quebec	46.1158800	-74.5891426	PURPLE	<a href='https://www.acroad.ca/certificates/2025/QC-2024-004-LJJL.pdf' target='_blank'>QC-2024-004-LJJL</a>	<a href='https://www.google.com/maps/place/46.1158800,-74.5891426' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=46.1158800,-74.5891426&travelmode=driving' target='_blank'>Driving directions to course</a>		
ON-2025-030-BDC	2025	First St Calibration Course	300	m	Cornwall	ON		Ontario	Cornwall,Ontario	45.0469989	-74.7333845	PURPLE	<a href='https://www.acroad.ca/certificates/2025/ON-2025-030-BDC.pdf' target='_blank'>ON-2025-030-BDC</a>	<a href='https://www.google.com/maps/place/45.0469989,-74.7333845' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=45.0469989,-74.7333845&travelmode=driving' target='_blank'>Driving directions to course</a>		
BC-2025-001-PTBA	2025	Illecillewaet Greenbelt Pathway Calibration	300.000	m	Revelstoke	BC		British Columbia	Revelstoke,British Columbia	50.9980450	-118.1956709	PURPLE	<a href='https://www.acroad.ca/certificates/2025/BC-2025-001-PTBA.pdf' target='_blank'>BC-2025-001-PTBA</a>	<a href='https://www.google.com/maps/place/50.9980450,-118.1956709' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=50.9980450,-118.1956709&travelmode=driving' target='_blank'>Driving directions to course</a>		
ARU-2025-001-BDC	2025	Italiestraat 300 m Calibration Course	300	m	Oranjestad				Oranjestad	12.5201024	-70.0371329	PURPLE	<a href='https://www.acroad.ca/certificates/2025/ARU-2025-001-BDC.pdf' target='_blank'>ARU-2025-001-BDC</a>	<a href='https://www.google.com/maps/place/12.5201024,-70.0371329' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=12.5201024,-70.0371329&travelmode=driving' target='_blank'>Driving directions to course</a>		
ON-2025-008-BDC	2025	Kichi Zibi Mikam 300 m Calibration Course	300	m	Ottawa	ON		Ontario	Ottawa,Ontario	45.4208777	-75.6901106	PURPLE	<a href='https://www.acroad.ca/certificates/2025/ON-2025-008-BDC.pdf' target='_blank'>ON-2025-008-BDC</a>	<a href='https://www.google.com/maps/place/45.4208777,-75.6901106' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=45.4208777,-75.6901106&travelmode=driving' target='_blank'>Driving directions to course</a>		
ON-2025-021-BDC	2025	Lake Driveway W 500 m Calibration Course (Ajax)	500	m	Ajax	ON		Ontario	Ajax,Ontario	43.8505287	-79.0208814	PURPLE	<a href='https://www.acroad.ca/certificates/2025/ON-2025-021-BDC.pdf' target='_blank'>ON-2025-021-BDC</a>	<a href='https://www.google.com/maps/place/43.8505287,-79.0208814' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=43.8505287,-79.0208814&travelmode=driving' target='_blank'>Driving directions to course</a>		
ON-2025-033-LJJL	2025	Old Montreal Road 300 m Calibration Course	300	m	Cumberland	ON		Ontario	Cumberland,Ontario	45.5167675	-75.4107026	PURPLE	<a href='https://www.acroad.ca/certificates/2025/ON-2025-033-LJJL.pdf' target='_blank'>ON-2025-033-LJJL</a>	<a href='https://www.google.com/maps/place/45.5167675,-75.4107026' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=45.5167675,-75.4107026&travelmode=driving' target='_blank'>Driving directions to course</a>		
ON-2025-001-LJJL	2025	Ontario Street 300 m Calibration Course	300.000	m	Kingston	ON		Ontario	Kingston,Ontario	44.3054151	-76.4283781	PURPLE	<a href='https://www.acroad.ca/certificates/2025/ON-2025-001-LJJL.pdf' target='_blank'>ON-2025-001-LJJL</a>	<a href='https://www.google.com/maps/place/44.3054151,-76.4283781' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=44.3054151,-76.4283781&travelmode=driving' target='_blank'>Driving directions to course</a>		
ME-2025-015-LJJL	2025	Pleasant Street 300 m Calibration Course	300	m	Lubec, Maine				Lubec, Maine	44.8611720	-66.9835010	PURPLE	<a href='https://www.acroad.ca/certificates/2025/ME-2025-015-LJJL.pdf' target='_blank'>ME-2025-015-LJJL</a>	<a href='https://www.google.com/maps/place/44.8611720,-66.9835010' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=44.8611720,-66.9835010&travelmode=driving' target='_blank'>Driving directions to course</a>		
ON-2024-052-BDC	2024	Princes' Blvd 300 m Cal Course	300	m	Toronto	ON		Ontario	Toronto,Ontario	43.6534817	-79.3839347	PURPLE	<a href='https://www.acroad.ca/certificates/2025/ON-2024-052-BDC.pdf' target='_blank'>ON-2024-052-BDC</a>	<a href='https://www.google.com/maps/place/43.6534817,-79.3839347' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=43.6534817,-79.3839347&travelmode=driving' target='_blank'>Driving directions to course</a>		
MB-2025-023-LJJL	2025	Robert Bockstael Drive 300 m Calibration Course	300	m	Winnipeg	MB		Manitoba	Winnipeg,Manitoba	49.8955367	-97.1384584	PURPLE	<a href='https://www.acroad.ca/certificates/2025/MB-2025-023-LJJL.pdf' target='_blank'>MB-2025-023-LJJL</a>	<a href='https://www.google.com/maps/place/49.8955367,-97.1384584' target='_blank'>Local street map of course</a>	<a href='https://www.google.com/maps/dir/?api=1&destination=49.8955367,-97.1384584&travelmode=driving' target='_blank'>Driving directions to course</a>		
